data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9197771,729,SUD15907,15907,21-Nov-21,2021,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),6,,,0,60,Northern Africa,Sudan,Gedaref,Al Fao,,El Faw,14.1128,34.0963,1,Twitter,New media,"On 21 November 2021, demonstrators responded to the call by the Resistance Committees for nationwide demonstrations in El Faw (Al Fao locality, Gedaref state) to reject the political agreement between the former prime minister and military leaders. [size=no report]",0,1652126674,SDN
9197811,729,SUD15912,15912,21-Nov-21,2021,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),6,,,0,60,Northern Africa,Sudan,White Nile,Rabak,,Geziret Aba,13.3333,32.6167,1,Twitter,New media,"On 21 November 2021, demonstrators responded to the call by the Resistance Committees for nationwide demonstrations in Geziret Aba (Rabak locality, White Nile state) to reject the political agreement between the former prime minister and military leaders. [size=no report]",0,1652126674,SDN
9197843,729,SUD15908,15908,21-Nov-21,2021,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),6,,,0,60,Northern Africa,Sudan,Al Jazirah,Al Hasahisa,,El Hasahisa,14.7349,33.2973,1,Twitter,New media,"On 21 November 2021, demonstrators responded to the call by the Resistance Committees for nationwide demonstrations in El Hasahisa (Al Hasahisa locality, Al Jazirah state) to reject the political agreement between former prime minister and military leaders. [size=no report]",0,1652126675,SDN
9197884,729,SUD15926,15926,21-Nov-21,2021,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),6,,,0,60,Northern Africa,Sudan,Sennar,Sinja,,Singa,13.1405,33.9323,1,Twitter,New media,"On 21 November 2021, demonstrators responded to the call by the Resistance Committees for nationwide demonstrations in Singa (Sinja locality, Sennar state) to reject the political agreement between the former prime minister and military leaders. [size=no report]",0,1652126675,SDN
9197905,729,SUD15917,15917,21-Nov-21,2021,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),6,,,0,60,Northern Africa,Sudan,South Darfur,El Salam,,Kosti,12.0684,24.5632,1,Twitter,New media,"On 21 November 2021, demonstrators responded to the call by the Resistance Committees for nationwide demonstrations in Kosti (El Salam locality, South Darfur state) to reject the political agreement between the former prime minister and military leaders. [size=no report]",0,1652126675,SDN
9197920,729,SUD15900,15900,21-Nov-21,2021,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),6,,,0,60,Northern Africa,Sudan,White Nile,Ad Diwaim,,Ad Douiem,14.0006,32.3176,1,Twitter,New media,"On 21 November 2021, demonstrators responded to the call by the Resistance Committees for nationwide demonstrations in Ad Douiem (Ad Diwaim locality, White Nile state) to reject the political agreement between the former prime minister and military leaders. [size=no report]",0,1652126675,SDN
8673610,729,SUD15972,15972,20-Nov-21,2021,1,Battles,Armed clash,Rizeigat Ethnic Militia (Sudan),Pastoralists (Sudan); Military Forces of Sudan (2019-) Rapid Support Forces,4,Misseriya Jebel Ethnic Militia (Sudan),,4,44,Northern Africa,Sudan,West Darfur,Jebel Moon,,Khazan-kujuk,14.0995,22.7427,1,UNITAMS; Radio Dabanga; IOM; UNOCHA; Undisclosed Source,Local partner-Other,"On 20 November 2021, armed pastoralists (described as Arabs, and coded as Rizeigat militia) accompanied by RSF paramilitaries clashed with members of the Misseriya Jebel (a.k.a. Mileri) ethnic group at Khazan-kujuk village (Jebel Moon locality, West Darfur state). Across several days of violence, at least 43 people were killed (some reports suggest hundreds were killed), and 'many' injured (43 fatalities distributed across seven events). Numerous village were torched and looted (with one source putting the number of villages at 46), and thousands of villagers fled to eastern Chad and adjoining areas of West and North Darfur. Several people are missing, including 20 children. The reasons for the clash are unclear.",6,1638831648,SDN
9197722,729,SUD16626,16626,20-Nov-21,2021,1,Violence against civilians,Attack,Darfur Communal Militia (Sudan),,4,Civilians (Sudan),Refugees/IDPs (Sudan); Farmers (Sudan),7,47,Northern Africa,Sudan,North Darfur,Tawila,,Dali,13.2486,25.0486,1,Twitter,New media,"On 20 November 2021, militia (described as members of the Janjaweed, coded as Darfur militia) shot and killed a displaced person and injured a woman working on a farm in Dali village (Tawila locality, North Darfur state).",1,1652126674,SDN
9283482,729,SUD17245,17245,20-Nov-21,2021,1,Violence against civilians,Attack,Ngok Clan Militia (Sudan),Dinka Ethnic Militia (Sudan),4,Civilians (Sudan),Misseriya Ethnic Group (Sudan),7,47,Northern Africa,Sudan,Abyei,Abyei,,Um Khariet,9.901,28.6778,1,UNSC,Other,"On 20 November 2021, Ngok Dinka militia attacked and wounded three Misseriya men at Um Khariet (approximate coordinates used) in the disputed Abyei area. The motive for the attack is not specified.",0,1653346611,SDN
8673609,729,SUD15971,15971,19-Nov-21,2021,1,Battles,Armed clash,Rizeigat Ethnic Militia (Sudan),Pastoralists (Sudan); Military Forces of Sudan (2019-) Rapid Support Forces,4,Misseriya Jebel Ethnic Militia (Sudan),,4,44,Northern Africa,Sudan,West Darfur,Jebel Moon,,Jebel Moon,14.1492,22.7347,2,Undisclosed Source; IOM; UNITAMS; Radio Dabanga; UNOCHA,Local partner-Other,"On 19 November 2021, armed pastoralists (described as Arabs, and coded as Rizeigat militia) accompanied by RSF paramilitaries clashed with members of the Misseriya Jebel (a.k.a. Mileri) ethnic group in and around Jebel Moon (Jebel Moon locality, West Darfur state). Across several days of violence, at least 43 people were killed (some reports suggest hundreds were killed), and 'many' injured (43 fatalities distributed across seven events). Numerous village were torched and looted (with one source putting the number of villages at 46), and thousands of villagers fled to eastern Chad and adjoining areas of West and North Darfur. Several people are missing, including 20 children. The reasons for the clash are unclear.",6,1638831648,SDN
